country,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,$283 ,$287 ,$291 ,$294 ,$297 ,$300 ,$302 ,$304 ,$305 ,$307 ,$310 ,$330 ,$373 ,$416 ,$432 ,$432 ,$431 ,$441 ,$454 ,$461 ,$460 ,$468 ,$474 ,$441 ,$398 ,$373 ,$362 ,$357 ,$352 ,$348 ,$342 ,$344 ,$350 ,$340 ,$348 ,$342 ,$371 ,$380 ,$428 ,$438 ,$516 ,$547 ,$568 ,$636 ,$634 ,$632 ,$624 
Albania,"$1,873 ","$1,881 ","$1,893 ","$1,905 ","$1,936 ","$1,951 ","$1,967 ","$1,984 ","$2,001 ","$2,019 ","$2,038 ","$2,059 ","$2,135 ","$2,154 ","$2,134 ","$2,064 ","$2,058 ","$2,132 ","$2,074 ","$2,004 ","$2,161 ","$1,924 ","$1,382 ","$1,328 ","$1,458 ","$1,557 ","$1,737 ","$1,869 ","$1,667 ","$1,886 ","$2,093 ","$2,266 ","$2,448 ","$2,544 ","$2,713 ","$2,896 ","$3,077 ","$3,251 ","$3,459 ","$3,729 ","$3,856 ","$3,993 ","$4,084 ","$4,139 ","$4,186 ","$4,253 ","$4,541 "
Algeria,"$2,671 ","$2,823 ","$2,433 ","$3,011 ","$3,036 ","$3,168 ","$3,228 ","$3,394 ","$3,465 ","$3,670 ","$3,827 ","$3,739 ","$3,732 ","$3,846 ","$3,927 ","$4,019 ","$4,041 ","$3,944 ","$3,813 ","$3,670 ","$3,731 ","$3,667 ","$3,534 ","$3,507 ","$3,350 ","$3,247 ","$3,304 ","$3,378 ","$3,359 ","$3,477 ","$3,536 ","$3,563 ","$3,675 ","$3,825 ","$4,043 ","$4,155 ","$4,338 ","$4,345 ","$4,416 ","$4,424 ","$4,412 ","$4,484 ","$4,521 ","$4,581 ","$4,620 ","$4,720 ","$4,794 "
Angola,"$3,185 ","$3,172 ","$3,141 ","$3,112 ","$3,089 ","$3,154 ","$3,251 ","$3,260 ","$3,182 ","$3,158 ","$3,114 ","$3,020 ","$2,750 ","$2,675 ","$2,684 ","$2,751 ","$2,661 ","$2,661 ","$2,806 ","$2,895 ","$2,838 ","$2,760 ","$2,656 ","$2,404 ","$1,755 ","$1,761 ","$1,884 ","$2,032 ","$2,130 ","$2,210 ","$2,218 ","$2,226 ","$2,264 ","$2,506 ","$2,552 ","$2,731 ","$3,130 ","$3,671 ","$4,371 ","$4,836 ","$4,814 ","$4,839 ","$4,885 ","$4,991 ","$5,184 ","$5,239 ","$4,153 "
Antigua and Barbuda,"$3,321 ","$3,413 ","$3,530 ","$3,656 ","$3,794 ","$3,950 ","$4,119 ","$4,288 ","$4,467 ","$4,656 ","$5,004 ","$5,432 ","$5,677 ","$5,708 ","$6,193 ","$6,918 ","$7,479 ","$8,430 ","$9,124 ","$9,618 ","$10,180 ","$10,475 ","$10,711 ","$10,611 ","$10,989 ","$11,484 ","$10,808 ","$11,315 ","$11,636 ","$11,927 ","$12,211 ","$12,600 ","$11,977 ","$12,138 ","$12,672 ","$13,154 ","$13,768 ","$15,408 ","$16,652 ","$16,448 ","$14,281 ","$13,089 ","$12,689 ","$13,031 ","$12,857 ","$13,106 ","$13,681 "
Argentina,"$7,282 ","$7,391 ","$7,680 ","$7,674 ","$7,755 ","$8,045 ","$7,909 ","$7,618 ","$8,010 ","$7,521 ","$8,153 ","$8,352 ","$7,746 ","$7,241 ","$7,404 ","$7,459 ","$6,794 ","$7,217 ","$7,315 ","$7,022 ","$6,402 ","$6,160 ","$6,844 ","$7,557 ","$7,901 ","$8,256 ","$7,924 ","$8,266 ","$8,833 ","$9,069 ","$8,666 ","$8,502 ","$8,050 ","$7,115 ","$7,676 ","$8,282 ","$8,942 ","$9,587 ","$10,239 ","$10,441 ","$10,336 ","$11,195 ","$12,010 ","$11,985 ","$12,210 ","$12,149 ",..
Armenia,"$1,447 ","$1,458 ","$1,467 ","$1,475 ","$1,484 ","$1,495 ","$1,509 ","$1,525 ","$1,539 ","$1,555 ","$1,573 ","$1,590 ","$1,606 ","$1,622 ","$1,639 ","$1,656 ","$1,675 ","$1,695 ","$1,717 ","$1,739 ","$1,887 ","$1,801 ","$1,564 ",$931 ,$895 ,$982 ,"$1,073 ","$1,139 ","$1,180 ","$1,269 ","$1,311 ","$1,391 ","$1,524 ","$1,726 ","$1,973 ","$2,182 ","$2,486 ","$2,817 ","$3,207 ","$3,431 ","$2,947 ","$3,014 ","$3,159 ","$3,389 ","$3,511 ","$3,634 ","$3,793 "
Australia,"$24,540 ","$25,715 ","$26,173 ","$26,702 ","$26,979 ","$27,633 ","$27,652 ","$28,074 ","$28,759 ","$28,662 ","$29,465 ","$29,961 ","$30,329 ","$30,844 ","$29,790 ","$30,842 ","$32,079 ","$32,960 ","$33,317 ","$34,681 ","$35,427 ","$36,081 ","$35,414 ","$35,115 ","$36,133 ","$37,228 ","$38,254 ","$39,283 ","$40,346 ","$41,668 ","$43,267 ","$44,416 ","$44,707 ","$45,862 ","$46,721 ","$48,106 ","$49,071 ","$49,905 ","$51,132 ","$52,375 ","$52,642 ","$53,043 ","$53,649 ","$55,020 ","$55,776 ","$56,534 ","$54,718 "
Austria,"$17,893 ","$19,498 ","$20,404 ","$21,545 ","$22,473 ","$23,320 ","$23,296 ","$24,406 ","$25,636 ","$25,603 ","$27,020 ","$27,488 ","$27,393 ","$27,908 ","$28,820 ","$28,830 ","$29,528 ","$30,174 ","$30,540 ","$31,460 ","$32,563 ","$33,560 ","$34,291 ","$34,582 ","$34,443 ","$35,100 ","$35,947 ","$36,748 ","$37,516 ","$38,810 ","$40,126 ","$41,379 ","$41,793 ","$42,295 ","$42,420 ","$43,317 ","$43,971 ","$45,240 ","$46,725 ","$47,294 ","$45,381 ","$46,127 ","$47,392 ","$47,598 ","$47,430 ","$47,278 ","$47,668 "
Azerbaijan,"$3,268 ","$3,297 ","$3,326 ","$3,359 ","$3,397 ","$3,438 ","$3,484 ","$3,534 ","$3,584 ","$3,633 ","$3,686 ","$3,729 ","$3,770 ","$3,811 ","$3,851 ","$3,889 ","$3,932 ","$3,981 ","$4,030 ","$3,964 ","$3,420 ","$2,978 ","$2,917 ","$2,223 ","$1,683 ","$1,332 ","$1,161 ","$1,163 ","$1,218 ","$1,326 ","$1,411 ","$1,553 ","$1,693 ","$1,859 ","$2,051 ","$2,241 ","$2,805 ","$3,732 ","$4,618 ","$5,061 ","$5,480 ","$5,687 ","$5,633 ","$5,699 ","$5,968 ","$6,027 ","$6,116 "
