COUNTRY,YEAR,PTYPE,GENDEATHMAG,ETHMAGFATAL,ETHMAGFIGHT,REVMAGFATAL,REVMAGFIGHT
Afghanistan,1978,4,3,0,0,0,0
Afghanistan,1978,2,0,0,0,2,2
Afghanistan,1979,4,3.5,0,0,0,0
Afghanistan,1979,2,0,0,0,3,4
Afghanistan,1980,4,3.5,0,0,0,0
Afghanistan,1980,2,0,0,0,3,4
Afghanistan,1981,4,3.5,0,0,0,0
Afghanistan,1981,2,0,0,0,3,4
Afghanistan,1982,4,4,0,0,0,0
Afghanistan,1982,2,0,0,0,3,4
Afghanistan,1983,4,4,0,0,0,0
Afghanistan,1983,2,0,0,0,3,4
Afghanistan,1984,4,4.5,0,0,0,0
Afghanistan,1984,2,0,0,0,3,4
Afghanistan,1985,4,4.5,0,0,0,0
Afghanistan,1985,2,0,0,0,3,4
Afghanistan,1986,4,4,0,0,0,0
Afghanistan,1986,2,0,0,0,3,4
Afghanistan,1987,4,4,0,0,0,0
Afghanistan,1987,2,0,0,0,3,4
Afghanistan,1988,4,3.5,0,0,0,0
Afghanistan,1988,2,0,0,0,3,4
Afghanistan,1989,4,3.5,0,0,0,0
Afghanistan,1989,2,0,0,0,4,4
Afghanistan,1990,4,3.5,0,0,0,0
Afghanistan,1990,2,0,0,0,3,4
Afghanistan,1991,4,3.5,0,0,0,0
Afghanistan,1991,2,0,0,0,3,4
Afghanistan,1992,4,3.5,0,0,0,0
Afghanistan,1992,1,0,3,4,0,0
Afghanistan,1992,2,0,0,0,3,4
Afghanistan,1993,1,0,2,4,0,0
Afghanistan,1994,1,0,3,4,0,0
Afghanistan,1995,1,0,2,4,0,0
Afghanistan,1996,1,0,3,4,0,0
Afghanistan,1997,1,0,3,4,0,0
Afghanistan,1998,1,0,3,4,0,0
Afghanistan,1999,1,0,3,4,0,0
Afghanistan,2000,1,0,2,4,0,0
Afghanistan,2001,1,0,2,4,0,0
Afghanistan,2001,2,0,0,0,2,4
Afghanistan,2002,2,0,0,0,2,4
Afghanistan,2003,2,0,0,0,1,4
Afghanistan,2004,2,0,0,0,1,4
Afghanistan,2005,2,0,0,0,1,4
Afghanistan,2006,2,0,0,0,2,3
Afghanistan,2007,2,0,0,0,3,4
Afghanistan,2008,2,0,0,0,3,4
Afghanistan,2009,2,0,0,0,3,4
Afghanistan,2010,2,0,0,0,4,4
Afghanistan,2011,2,0,0,0,3,4
Afghanistan,2012,2,0,0,0,3,4
Afghanistan,2013,2,0,0,0,3,4
Afghanistan,2014,2,0,0,0,2,4
Afghanistan,2015,2,0,0,0,3,4
Albania,1997,2,0,0,0,2,4
Algeria,1962,4,3.5,0,0,0,0
Algeria,1962,1,0,2,3,0,0
Algeria,1962,2,0,0,0,2,3
Algeria,1991,2,0,0,0,0,4
Algeria,1992,2,0,0,0,1,4
Algeria,1993,2,0,0,0,2,4
Algeria,1994,2,0,0,0,4,4
Algeria,1995,2,0,0,0,3,4
Algeria,1996,2,0,0,0,2,2
Algeria,1997,2,0,0,0,3,2
Algeria,1998,2,0,0,0,3,2
Algeria,1999,2,0,0,0,2,2
Algeria,2000,2,0,0,0,2,2
Algeria,2001,2,0,0,0,2,2
Algeria,2002,2,0,0,0,2,2
Algeria,2003,2,0,0,0,1,2
Algeria,2004,2,0,0,0,0,1
Angola,1975,4,2,0,0,0,0
Angola,1975,1,0,3,4,0,0
Angola,1975,2,0,0,0,3,4
Angola,1976,4,2.5,0,0,0,0
Angola,1976,1,0,3,4,0,0
Angola,1976,2,0,0,0,3,4
Angola,1977,4,2.5,0,0,0,0
Angola,1977,1,0,3,4,0,0
Angola,1977,2,0,0,0,3,4
Angola,1978,4,2.5,0,0,0,0
Angola,1978,1,0,3,4,0,0
Angola,1978,2,0,0,0,3,4
Angola,1979,4,2.5,0,0,0,0
Angola,1979,1,0,3,4,0,0
Angola,1979,2,0,0,0,3,4
Angola,1980,4,2.5,0,0,0,0
Angola,1980,1,0,3,4,0,0
Angola,1980,2,0,0,0,3,4
Angola,1981,4,2.5,0,0,0,0
Angola,1981,1,0,3,4,0,0
Angola,1981,2,0,0,0,3,4
Angola,1982,4,2.5,0,0,0,0
Angola,1982,1,0,3,4,0,0
Angola,1982,2,0,0,0,3,4
Angola,1983,4,3,0,0,0,0
Angola,1983,1,0,3,4,0,0
Angola,1983,2,0,0,0,3,4
Angola,1984,4,3,0,0,0,0
Angola,1984,1,0,3,4,0,0
Angola,1984,2,0,0,0,3,4
Angola,1985,4,3,0,0,0,0
Angola,1985,1,0,3,4,0,0
Angola,1985,2,0,0,0,3,4
Angola,1986,4,3,0,0,0,0
Angola,1986,1,0,3,4,0,0
Angola,1986,2,0,0,0,3,4
Angola,1987,4,3.5,0,0,0,0
Angola,1987,1,0,3,4,0,0
Angola,1987,2,0,0,0,3,4
Angola,1988,4,3.5,0,0,0,0
Angola,1988,1,0,4,4,0,0
Angola,1988,2,0,0,0,4,4
Angola,1989,4,3.5,0,0,0,0
Angola,1989,1,0,2,4,0,0
Angola,1989,2,0,0,0,2,4
Angola,1990,4,3.5,0,0,0,0
Angola,1990,1,0,3,4,0,0
