COUNTRY,YEAR,PTYPE,GENDEATHMAG,ETHMAGFATAL,ETHMAGFIGHT,REVMAGFATAL,REVMAGFIGHT
Afghanistan,1955,0,0,0,0,0,0
Afghanistan,1956,0,0,0,0,0,0
Afghanistan,1957,0,0,0,0,0,0
Afghanistan,1958,0,0,0,0,0,0
Afghanistan,1959,0,0,0,0,0,0
Afghanistan,1960,0,0,0,0,0,0
Afghanistan,1961,0,0,0,0,0,0
Afghanistan,1962,0,0,0,0,0,0
Afghanistan,1963,0,0,0,0,0,0
Afghanistan,1964,0,0,0,0,0,0
Afghanistan,1965,0,0,0,0,0,0
Afghanistan,1966,0,0,0,0,0,0
Afghanistan,1967,0,0,0,0,0,0
Afghanistan,1968,0,0,0,0,0,0
Afghanistan,1969,0,0,0,0,0,0
Afghanistan,1970,0,0,0,0,0,0
Afghanistan,1971,0,0,0,0,0,0
Afghanistan,1972,0,0,0,0,0,0
Afghanistan,1973,0,0,0,0,0,0
Afghanistan,1974,0,0,0,0,0,0
Afghanistan,1975,0,0,0,0,0,0
Afghanistan,1976,0,0,0,0,0,0
Afghanistan,1977,0,0,0,0,0,0
Afghanistan,1978,4,3,0,0,0,0
Afghanistan,1978,2,0,0,0,2,2
Afghanistan,1979,4,3.5,0,0,0,0
Afghanistan,1979,2,0,0,0,3,4
Afghanistan,1980,4,3.5,0,0,0,0
Afghanistan,1980,2,0,0,0,3,4
Afghanistan,1981,4,3.5,0,0,0,0
Afghanistan,1981,2,0,0,0,3,4
Afghanistan,1982,4,4,0,0,0,0
Afghanistan,1982,2,0,0,0,3,4
Afghanistan,1983,4,4,0,0,0,0
Afghanistan,1983,2,0,0,0,3,4
Afghanistan,1984,4,4.5,0,0,0,0
Afghanistan,1984,2,0,0,0,3,4
Afghanistan,1985,4,4.5,0,0,0,0
Afghanistan,1985,2,0,0,0,3,4
Afghanistan,1986,4,4,0,0,0,0
Afghanistan,1986,2,0,0,0,3,4
Afghanistan,1987,4,4,0,0,0,0
Afghanistan,1987,2,0,0,0,3,4
Afghanistan,1988,4,3.5,0,0,0,0
Afghanistan,1988,2,0,0,0,3,4
Afghanistan,1989,4,3.5,0,0,0,0
Afghanistan,1989,2,0,0,0,4,4
Afghanistan,1990,4,3.5,0,0,0,0
Afghanistan,1990,2,0,0,0,3,4
Afghanistan,1991,4,3.5,0,0,0,0
Afghanistan,1991,2,0,0,0,3,4
Afghanistan,1992,4,3.5,0,0,0,0
Afghanistan,1992,1,0,3,4,0,0
Afghanistan,1992,2,0,0,0,3,4
Afghanistan,1993,1,0,2,4,0,0
Afghanistan,1994,1,0,3,4,0,0
Afghanistan,1995,1,0,2,4,0,0
Afghanistan,1996,1,0,3,4,0,0
Afghanistan,1997,1,0,3,4,0,0
Afghanistan,1998,1,0,3,4,0,0
Afghanistan,1999,1,0,3,4,0,0
Afghanistan,2000,1,0,2,4,0,0
Afghanistan,2001,1,0,2,4,0,0
Afghanistan,2001,2,0,0,0,2,4
Afghanistan,2002,2,0,0,0,2,4
Afghanistan,2003,2,0,0,0,1,4
Afghanistan,2004,2,0,0,0,1,4
Afghanistan,2005,2,0,0,0,1,4
Afghanistan,2006,2,0,0,0,2,3
Afghanistan,2007,2,0,0,0,3,4
Afghanistan,2008,2,0,0,0,3,4
Afghanistan,2009,2,0,0,0,3,4
Afghanistan,2010,2,0,0,0,4,4
Afghanistan,2011,2,0,0,0,3,4
Afghanistan,2012,2,0,0,0,3,4
