,country,gdppercap,gdpgrowth,urbanpop,coup,none,revmagfight,gendeathmag,ethmagfatal,revmagfatal,eth,ethmagfight,rev,gen,polity2,durable,yip,ethnic,linguistic,religious,CountryBin
1,Afghanistan,287.0,4.04,11.53,0,1.0,0,0.0,0,0,0.0,0,0.0,0.0,-7,6.0,37,0.7693,0.6141,0.2717,southernAsia
2,Afghanistan,291.0,3.88,11.92,0,1.0,0,0.0,0,0,0.0,0,0.0,0.0,-7,7.0,38,0.7693,0.6141,0.2717,southernAsia
3,Afghanistan,294.0,3.74,12.32,0,1.0,0,0.0,0,0,0.0,0,0.0,0.0,-7,8.0,39,0.7693,0.6141,0.2717,southernAsia
4,Afghanistan,297.0,3.6,12.73,1,1.0,0,0.0,0,0,0.0,0,0.0,0.0,-7,9.0,40,0.7693,0.6141,0.2717,southernAsia
5,Afghanistan,300.0,3.48,13.15,0,1.0,0,0.0,0,0,0.0,0,0.0,0.0,-7,10.0,1,0.7693,0.6141,0.2717,southernAsia
6,Afghanistan,302.0,3.36,13.58,0,1.0,0,0.0,0,0,0.0,0,0.0,0.0,-7,11.0,2,0.7693,0.6141,0.2717,southernAsia
7,Afghanistan,304.0,3.25,14.03,0,1.0,0,0.0,0,0,0.0,0,0.0,0.0,-7,12.0,3,0.7693,0.6141,0.2717,southernAsia
8,Afghanistan,305.0,3.15,14.49,0,1.0,0,0.0,0,0,0.0,0,0.0,0.0,-7,13.0,4,0.7693,0.6141,0.2717,southernAsia
9,Afghanistan,307.0,3.05,14.96,1,0.0,2,3.0,0,2,0.0,0,1.0,1.0,0,0.0,5,0.7693,0.6141,0.2717,southernAsia
10,Afghanistan,310.0,2.96,15.44,1,0.0,4,3.5,0,3,0.0,0,1.0,1.0,0,0.0,1,0.7693,0.6141,0.2717,southernAsia
11,Afghanistan,330.0,2.88,15.68,0,0.0,4,3.5,0,3,0.0,0,1.0,1.0,0,0.0,1,0.7693,0.6141,0.2717,southernAsia
